task_id,user_id,task_name,folder_path,task_type,created_at
dfc0031f-9f0e-42e5-8fe6-10fbde3c3456,1739345556039,p1,uploads/d73f2cd8-7fd6-48f7-9fab-4c2d89b70eb5,detection,2025-02-12T12:40:27.852Z
ae4b3431-1d6d-4ef9-9017-3d6bfdba9f79,1739345556039,p2,uploads/b17d99ab-a134-4aa4-b57c-e14446172cab,segmentation,2025-02-12T16:30:36.510Z
24b4af86-33ca-4109-9a88-7d80080cd885,1739345556039,p1,uploads/2cd1f3b5-f4cd-4b93-a3dd-3e3b87c7f0ec,detection,2025-02-12T16:57:55.670Z
62700e45-3973-4970-973c-fd2790fce9d5,1739345556039,seg,uploads/6d729c42-a1ee-4407-8c23-561dee1ed8b2,segmentation,2025-02-12T16:59:47.877Z
46bd323f-1dd5-42e1-abda-f6042129c367,undefined,test,uploads\e4cb16c5-3e01-4007-a4ff-00d680d23132,classification,2025-02-20T18:36:52.653Z
b920c2b2-8c95-4ffe-923f-70ab3a9b8249,1740077374191,Test,uploads\bddbf48e-64a2-4227-814a-93620eeff7cf,detection,2025-02-21T15:17:59.664Z
d1e86cf2-b524-4894-a713-8cc3f367c669,1740077374191,test,uploads\9819ab04-c718-46ec-9136-2aba3463a88b,detection,2025-02-21T15:42:49.572Z
76158e2d-9ae0-4076-8c2d-f9a31fc6dd33,1740077374191,test,uploads\db8184ff-7090-44f6-b9b6-d936cacfb147,detection,2025-02-21T15:50:50.508Z
7e8c4c4b-7d74-4a16-87cd-72847e823500,1740077374191,final test,uploads\ad89092a-6c36-403f-b46d-dec0439331c7,detection,2025-02-21T16:18:07.702Z
f2af2de8-1f9c-46aa-b88f-b10403bda027,1740077374191,updated test,uploads\ad007f23-58eb-496c-8b5f-d4ee9b368d21,detection,2025-02-21T16:57:21.976Z
4aef537e-dbd4-44aa-a8b3-7aaa433a8d80,1740077374191,test,uploads/2f893b61-6c40-4247-8765-71cee18d1149,detection,2025-02-22T05:33:47.073Z
